Hostname,IPv4
mdx-bdm-pru-w01,10.10.166.28
mdx-bdm-pru-w02,10.10.166.29
shf-eas,10.10.161.22
fil-sha-pro-w01,10.192.0.184
nfs-app-pro-s01,10.192.0.140
paginashf,192.168.103.7
sis-iis-pro-w01,10.192.3.3
sis-iis-pru-w01,10.10.132.106
sis-iis-des-w01,10.10.166.20
modulosfs,10.192.0.63
SharedFS,10.192.0.39
SIS-DFS-PRO-W01,10.192.2.30
sis-dfs-pro-w02,10.192.2.51
UsersFS,10.192.0.52
VOLANTESFS,10.192.0.55
nfs-app-des-s01,10.10.132.38
nfs-app-pru-s01,10.10.132.39
proyectosfs,10.192.0.54
sistemasfs,10.192.0.51
scv-bdm-pro-l01,10.10.161.175
sun-shf3-a,"10.10.161.30
10.10.161.33"
sun-shf2-a,"10.10.161.20
10.10.161.201"
ikc-app-pro-w01,10.192.0.16
ikc-bdm-pro-w01,10.10.161.10
ikc-app-des-w01,10.10.132.34
ikc-app-pru-w01,10.10.132.20
ikc-bdm-des-w01,10.10.132.35
ikc-bdm-pru-w01,10.10.132.12
ikn-app-pro-w02,10.192.3.45
ikn-bdm-pro-w01,10.10.161.11
ikn-app-pru-w01,10.10.132.18
ikn-bdm-des-w01,10.10.132.33
ikn-bdm-pru-w01,10.10.132.11
ikn-app-des-w01,10.10.132.32
SHFTESORERIA,10.192.0.74
SHFIKOSDESA,10.10.71.97
inc-app-pro-w01,10.192.2.21
INC-BDM-PRO-W01,10.10.161.120
INC-CPL-PRU-W01,10.10.166.36
kmi-app-pro-w01,10.192.2.48
KMI-BDM-PRO-W02,10.10.161.56
kmi-app-des-w01,10.10.166.14
kmi-app-pru-w01,10.10.166.37
kmi-bdm-des-w02,10.10.132.175
kmi-bdm-pru-w01,10.10.166.55
lad-app-pro-w01,10.10.161.140
lad-app-des-w01,10.10.166.15
lad-app-pru-w01,10.10.166.39
opm-app-pro-w01,10.10.165.17
pvc-app-pro-l02,192.168.105.181
SHFWUP,10.192.0.96
mma-app-pro-w01,10.192.3.81
abc-app-pro-w01,10.192.3.22
shf-myshfprod,10.10.161.50
shf-myshf,192.168.103.3
shf-myshfdes,10.192.0.123
fov-app-pro-w01,192.168.103.5
shp-wfe-pro-w01,10.192.3.54
shp-app-pro-w01,10.192.3.52
shp-app-pro-w02,10.192.3.53
shp-bdm-pro-w03,10.10.161.174
PCN-APP-PRO-W01,10.192.3.76
PCN-BDM-PRO-W02,10.10.161.203
srv-prc,10.192.0.84
rsk-app-pro-w01,10.192.2.35
RSK-BDM-PRO-W01,10.10.161.129
RSK-APP-DES-W01,10.10.132.178
SHFSPA,10.10.161.82
wre-app-pro-w01,10.192.2.40
wre-bdm-pru-w01,10.10.166.54
sco-gtw-pro-w04,10.192.0.23
sco-rms-pro-w02,10.192.2.22
sco-bdm-pro-w01,10.192.2.42
scm-app-pro-w02,10.192.2.77
scm-bdm-pro-w02,10.10.161.216
scv-app-pro-w01,10.192.2.50
scv-bdm-pro-w01,10.10.161.230
scv-app-pru-w01,10.10.166.44
scv-bdm-pru-w01,10.10.166.45
glb-app-drp-s01,10.10.161.131
sas-prod,10.10.161.38
sas-pru-des-s01,10.10.193.103
sas-desa,10.192.0.169
sas-glb-drp-s01,192.168.105.136
ogs-app-pro-w01,10.192.2.69
ogs-bdm-pro-w01,10.10.161.135
ogs-app-pru-w01,10.10.166.40
psa-app-pro-w01,10.192.3.23
pas-app-pru-w01,10.10.166.41
psa-app-des-w01,10.10.132.80
sim-app-pro-w01,10.192.3.34
psa-bdm-pro-w01,10.10.161.144
sev-app-pro-w02,10.192.3.85
hid-app-pru-l02,10.10.132.91
sma-app-pro-w01,192.168.103.44
sma-mon-pro-w01,10.192.2.76
SMA-BDM-PRO-W01,10.10.161.128
sma-mdb-pro-w01,10.10.161.173
sma-app-pru-w02,10.10.166.60
sma-bdm-pru-w02,10.10.166.52
syb-bds-pro-w01,10.10.161.101
SHFDES4,10.192.0.40
sun-consola2,10.192.0.90
sun-shf3-c,"10.10.161.31 
10.10.161.102
10.10.161.104"
shf-syb,10.10.161.7
SPE-BDM-PRU-W01,10.10.181.6
spe-bdm-pru-w02,10.10.72.43
SPE-CEP-PRO-W17,10.10.188.4
SPE-CEP-PRU-W01,10.10.181.4
SPE-CLI-PRO-W17,10.10.188.2
SPE-CLI-PRU-W01,10.10.181.2
SPE-WEB-PRO-W17,10.10.188.5
FIE-APP-PRO-W17,10.10.187.3
FIE-APP-PRU-W01,10.10.132.9
SPE-BDM-PRO-W17,10.10.188.6
SPE-MOI-PRO-W17,10.10.187.4
SPE-MOI-PRU-W01,10.10.132.8
SPE-WEB-PRU-W01,10.10.181.5
SHFPNET,10.10.72.74
SIS-SQL-PRO-W03,10.10.161.118
SIS-SQL-PRO-W05,10.10.161.124
sis-sql-pro-w06,10.10.161.145
sis-sql-pro-w07,10.100.100.4
sis-bdm-des-w01,10.10.132.13
SIS-NET1,10.10.62.67
sis-sql-des-w01,10.10.132.179
sis-sql-pru-w01,10.10.166.50
sis-sql-pru-w03,10.10.132.70
t24-preprod,10.10.161.55
t24-prod,10.10.161.54
t24-des-a,10.10.161.165
t24-des-b,10.10.161.162
t24-drp,192.168.105.166
t24-drp2,192.168.105.167
bi1-shp-pro-w01,10.192.2.53
bi1-shp-pro-w02,10.192.2.55
dwh-sql-pro-w01,10.10.161.130
dwh-sql-des-w01,10.10.132.125
S12-SIS-TEAMF,10.192.2.72
wso-app-des-s01,10.10.132.6
wso-app-pru-s01,10.192.0.79
wso-bat-des-s01,10.10.132.16
wso-bat-pru-s01,10.10.132.15
vis-app-pro-w01,10.10.161.185
shf-esb,10.192.0.78
shfesbbatch,10.192.0.168
sga-app-des-w03,10.10.132.177
sam-app-pro-w01,10.192.0.21
sgd-app-pro-w01,10.192.3.60
sgd-bdm-pro-w01,10.10.161.202
SCI-BDM-DES-W01,10.10.166.10
smg-app-des-w01,10.10.166.22
sqa-app-pru-w01,10.10.166.25
SPE-CLI-PRU-W03,10.10.181.7
exc-mbx-pro-w04,10.192.0.185
exc-mbx-pro-w05,10.192.0.186
exc-mbx-pro-w06,10.192.0.187
exc-cht-pro-w03,10.192.0.188
exc-cht-pro-w04,10.192.0.189
wpx-app-pro-w01,192.168.103.52
